clean_text,sentimen
tolonglaaa kasih bantu allah,positive
allah lindung semua,negative
alam sedang minta lindung tuhan atas segala laku manusia benar ini gapapa alam kan punya hak hidup bukan cuma manusia toh air tanah lumpur pohon lewat jalur sejati milik alam sendiri jadi jangan terlalu risau alam jauh lebih hak jauh lebih dulu adaalam reaksi atas aksi manusia,negative
tuhannn,negative
tuhan lindung saudara,negative
prabowosubianto,neutral
kasihan banget,negative
cepat dong perintah tindak,negative
perintah segera turun bantu,neutral
izin share,neutral
moga selamat semua,positive
tuhan moga bencana cepat selesai,neutral
mga cepat surut air,neutral
baut apa nyalain perintah kan gubernur gubernur sigap dong jangan nyalain jawa,negative
innalillahi wainailaihi rojiun sabar saudara sulit ada mudah moga kalian selamat ikan sehat tabah sabar insha allah di ganti yang lebih baik amin allah,positive
kapan lalu bal kena musibah ini kakak moga allah selalu jaga lindung semua,negative
kasihaaaps saudara landa bencana mncari tempat kslamtan diri dsn keluarga yaallah engkau lindung dari untun musibah,positive
mintak sama boby sama mulyonoo,positive
rusa darat di laut sebab ulah manusia,negative
gunung banyak tebang,negative
lindung lah saudara saudara yang ada medan allah,negative
allah sedih melihatnyastop ya allah,negative
tuhan yesus mereka tuhan,negative
gubernur mana nih enak banget dia rakyat derita,negative
potong kayu sangat rapi,positive
akibat ambah hutan,negative
bagaimana anak anak kayak bayi,negative
allahuakbar moga semua dalam ada selamat sehat walafiat amin,positive
bencana landa akibat tangan jahat manusia lingkung,negative
moga semua selamat allah,positive
ampun,negative
sampai sekarang hujan deras medan kota,negative
habis hutan sumatera alam hukum,neutral
sampai batu besar bisa jalan yaya allah tolongin di sana,negative
dpr ri prabowo subianto bobbynst gerindra partai solidaritas indonesia greenpeaceid,neutral
moga cepat bantu perintah,positive
mana timsar basarnas jenis cepat gegas lorr,neutral
yaallahtlong lindung,negative
batang kayu banyak betul mungkin banyak tebang liar,negative
anda harus tanya perintah tempat perintah tempat lindung baja hutan sana untuk keruk hasil bumi tidak lihat resiko di timbul kemudian hari,negative
verrell bramasta uya kuya zulhasan deddy corbuzier,neutral
astagfirullah,negative
masyaaallah batu besar bisa,negative
allah moga cepat lalu bencana banjir bandang sibolga,negative
suka,negative
indosiarid,neutral
lah hasil hutan gundul di tunjuk allah hamba di sebab manusia rakus akibat rakyat jadi korban,negative
yaallah selamat lah saudara dari musibah becanal,negative
hukum gajah sumatera banjir semua,negative
allah huakbar astaqfirulloh aladzim robb,negative
perintah kayak raya punya saham usaha tambang sawityang dampak warga,neutral
sawit kau tanam air bah kau tuai,neutral
nama yesus tolong,neutral
mana gubernur sumut ubah dulu sumut kenal dingin sejuk air bersih ramah tamah sekarang,negative
cepat baik lindung selalu saudara lu semua,positive
alhamdulillah sampai lokasi,positive
bismillahirrahmanirrahim allah lindung saudara ku allah sekolah bisa tolong saudara ku lagi kena musibah bencana apa presiden tolong saudara apa presiden,neutral
mangkanya tobat lah kalian semua,negative
pohonnnn ditebangin izin woii pemdanya tanggung jawab lah,negative
takdir,negative
ingat tas siaga selalu siap belakang pintu kita akan pernah tau kapan bencana jadi,positive
bobby tanggung jawab kau,negative
halo kakak semua sedang scroll tiktok ngemil produk yuk biar makin nyaman scroll rasa beda yang wajib kamu coba yuk cek akun ya,neutral
partai solidaritas indonesia gibran rakabuming gerindra media prabowo,neutral
yuhuuu semangat gubernur kuuuuuu,positive
kasihan banget untung begitu desa gwe,negative
